label,start,end
JUST,141.1,141.5
KEEPS,141.6,141.9
GETTING,142.2,143.2
BETTER,143.2,144.1
I,146.9,147.1
WANT,147.2,147.4
TO,147.5,147.5
SPEND,147.5,147.8
THE,147.8,147.9
REST,148,148.4
OF,148.6,148.8
MY,148.9,149.3
LIFE,149.3,150.1
WITH,151.2,151.4
YOU,151.5,151.8
BY,151.9,152.3
MY,152.3,152.6
SIDE,152.7,153.7
FOREVER,154.6,155.7
AND,155.9,156
EVER,156.4,157.8
EVERY,160.8,161.3
LITTLE,161.3,161.7
THING,161.7,162.1
THAT,162.2,162.5
YOU,162.6,163
DO,163.1,163.8
BABY,164.3,164.7
I'M,164.9,165
AMAZED,165,165.9
BY,166,166.5
YOU,166.6,169.3
EVERY,181.4,181.8
LITTLE,181.9,182.2
THING,182.3,182.7
THAT,182.8,183.1
YOU,183.3,183.6
DO,183.6,184.4
I'M,185.5,185.6
SO,185.7,186.1
IN,186.3,186.4
LOVE,186.4,187
WITH,187,187.2
YOU,187.3,188.3
IT,189,189.1
JUST,189.1,189.5
KEEPS,189.6,190
GETTING,190,190.3
BETTER,190.4,195
I,195,195
WANNA,195.2,195.6
SPEND,195.6,195.8
THE,195.9,196
REST,196.1,196.5
OF,196.6,196.8
MY,196.9,197.3
LIFE,197.4,198
WITH,199.3,199.4
YOU,199.5,199.9
BY,200,200.3
MY,200.4,200.7
SIDE,200.7,202
FOREVER,202.7,203.8
AND,203.8,204.3
EVER,204.4,206.3
EVERY,208.9,209.3
LITTLE,209.3,209.7
THING,209.8,210.2
THAT,210.2,210.5
YOU,210.8,211
DO,211.1,211.7
EVERY,211.7,212.6
LITTLE,212.6,213.1
THING,213.4,213.9
THAT,214,214.1
YOU,214.2,214.4
DO,214.5,214.9
EVERY,215.7,216.1
LITTLE,216.2,216.6
THING,216.6,217
THAT,217.1,217.4
YOU,217.5,217.9
DO,218,218.8
BABY,219.2,219.6
I'M,219.6,219.7
AMAZED,219.8,220.9
BY,221.1,221.6
YOU,222.5,224.8
