label,start,end,diff
THESE,89.9,90,0.0999999999999943
HOES,90,90.2,0.200000000000003
END,90.3,90.4,0.100000000000009
UP,90.5,90.6,0.0999999999999943
HUMPIN',90.6,90.9,0.300000000000011
THEY,91,91.1,0.0999999999999943
THROAT,91.2,91.4,0.200000000000003
GET,92.8,93.1,0.299999999999997
THE,93.2,93.4,0.200000000000003
FUCK,93.4,93.7,0.299999999999997
AWAY,93.7,94.3,0.599999999999994
FROM,94.3,94.5,0.200000000000003
ME,94.6,94.8,0.200000000000003
I,94.8,95.1,0.299999999999997
HATE,95.2,95.4,0.200000000000003
ALL,95.6,95.7,0.100000000000009
OF,95.8,95.9,0.100000000000009
YOU,96,96.2,0.200000000000003
FAITHFULLY,96.3,97.1,0.799999999999997
THIS,97.1,97.3,0.200000000000003
WORLD,97.4,97.7,0.299999999999997
WAS,97.7,97.9,0.200000000000003
NEVER,97.9,98.5,0.599999999999994
MADE,98.5,98.8,0.299999999999997
FOR,98.9,99.1,0.199999999999989
ME,99.1,99.3,0.200000000000003
THANKFULLY,99.7,100.5,0.799999999999997
I'M,100.6,100.7,0.100000000000009
TRAINED,100.8,101.1,0.299999999999997
TO,101.1,101.2,0.100000000000009
SEE,101.2,101.3,0.0999999999999943
PAST,101.4,101.6,0.199999999999989
ALL,102.1,102.2,0.100000000000009
THE,102.3,102.4,0.100000000000009
LIES,102.5,102.8,0.299999999999997
THE,102.8,103,0.200000000000003
RANKS,103.1,103.3,0.200000000000003
THE,103.4,103.5,0.0999999999999943
SCENES,103.6,103.9,0.300000000000011
I'LL,104,104.1,0.0999999999999943
SHANK,104.2,104.5,0.299999999999997
MY,104.5,104.7,0.200000000000003
KNEES,104.7,105,0.299999999999997
THEN,105.1,105.3,0.200000000000003
WALK,105.3,105.6,0.299999999999997
THE,105.6,105.8,0.200000000000003
PLANK,105.9,106.2,0.299999999999997
AND,106.3,106.4,0.100000000000009
FREEZE,106.5,107,0.5
LETTING,108.5,110.4,1.90000000000001
A,110.6,110.7,0.100000000000009
NEW,110.7,112.4,1.7
DAY,112.4,112.7,0.299999999999997
BEGIN,112.7,114.2,1.5
HOLD,118,119.2,1.2
TO,119.2,119.3,0.0999999999999943
THE,119.3,119.5,0.200000000000003
TIME,119.5,121.2,1.7
THAT,121.5,121.9,0.400000000000006
YOU,122.2,122.4,0.200000000000003
KNOW,122.5,124,1.5
